,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,scenario_navn
0,1,radiator,EksisterendeOgBT3,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,False,False,False,False,False,False,0,0,False,"[64.44408958 63.27320495 66.50995793 ... 57.97509014 57.5086996
 59.97267816]","[37.17645047 36.66775112 36.55664532 ... 40.81254058 39.69685863
 38.69969046]","[59.0887481  58.18985716 61.73183617 ... 51.4442941  51.61671872
 54.04424723]",[5.35534148 5.08334779 4.77812176 ... 6.53079604 5.89198088 5.92843092],"[37.17645047 36.66775112 36.55664532 ... 40.81254058 39.69685863
 38.69969046]",0,0,0,0,0,0.0,0.0,"[101.62054005  99.94095607 103.06660325 ...  98.78763073  97.20555823
  98.67236862]",970500.0,75.0,118.0,451772.4148503546,0.0,0,518732.8205539068,0.0,0.0,0.0,22.6276480128,0.0,0,52.460195647199996,0.0,0.0,0.0,37.6282175166,0.0,0,80.7929005812,0.0,0.0,0.0,Energiforsyning (2035),Referansesituasjon
1,2,rehab1991Panelovn,EksisterendeOgBT3,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,True,False,False,False,False,True,0,0,True,"[24.78515116 23.39052765 23.0969227  ... 24.98088779 24.54048037
 23.51286304]","[24.78515116 23.39052765 23.0969227  ... 24.98088779 24.54048037
 23.51286304]","[43.31079573 42.01264723 42.9158209  ... 41.04947258 39.94717331
 37.57379063]",[4.63141114 4.65552989 4.95472455 ... 4.0171462  3.85167323 3.5152319 ],"[24.78515116 23.39052765 23.0969227  ... 24.98088779 24.54048037
 23.51286304]",[7.08147176 6.6830079  6.59912077 ... 7.13739651 7.01156582 6.71796087],"[-17.7036794  -16.70751975 -16.49780193 ... -17.84349128 -17.52891455
 -16.79490217]",[0. 0. 0. ... 0. 0. 0.],0,0,1383.0,829800.0,"[31.86662292 30.07353555 29.69604347 ... 32.1182843  31.55204619
 30.23082391]",199200.0,12.0,12.0,154934.5000000006,110667.50000000044,0,154934.5000000006,44267.000000000175,0.0,0.0,9.224088831883728,6.588634879916949,0,9.224088831883728,2.6354539519667792,0.0,0.0,9.052819277976072,6.466299484268623,0,9.052819277976072,2.586519793707449,0.0,0.0,Energiforsyning (2035),Referansesituasjon
2,3,rehab2021Panelovn,EksisterendeOgBT3,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,True,False,False,False,False,True,0,0,True,[7.97001398 7.80613342 7.80679423 ... 6.8781377  7.30369852 6.85589048],[7.97001398 7.80613342 7.80679423 ... 6.8781377  7.30369852 6.85589048],"[21.86424741 21.7727231  22.67096788 ... 18.92957629 18.85871822
 17.40158617]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],[7.97001398 7.80613342 7.80679423 ... 6.8781377  7.30369852 6.85589048],[2.27714685 2.23032383 2.23051264 ... 1.9651822  2.08677101 1.95882585],"[-5.69286713 -5.57580958 -5.57628159 ... -4.9129555  -5.21692751
 -4.89706463]",[0. 0. 0. ... 0. 0. 0.],0,0,514.0,308400.0,"[10.24716083 10.03645725 10.03730686 ...  8.84331991  9.39046953
  8.81471633]",73900.0,5.0,4.0,57513.49999999998,41081.071428571406,0,57513.49999999998,16432.428571428565,0.0,0.0,3.5714508656839143,2.5510363326313676,0,3.5714508656839143,1.0204145330525467,0.0,0.0,2.7461007735587373,1.9615005525419553,0,2.7461007735587373,0.784600221016782,0.0,0.0,Energiforsyning (2035),Referansesituasjon
3,4,rehab2021Panelovn,EksisterendeOgBT3,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,True,True,False,False,False,True,0,0,True,"[17.96297961 16.30335649 16.05929427 ... 16.84029338 18.84160361
 18.74397872]","[17.96297961 16.30335649 16.05929427 ... 16.84029338 18.84160361
 18.74397872]","[31.85721303 30.26994618 30.92346792 ... 28.89173197 30.39662331
 29.28967441]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[17.96297961 16.30335649 16.05929427 ... 16.84029338 18.84160361
 18.74397872]",[5.13227989 4.65810185 4.58836979 ... 4.81151239 5.38331532 5.35542249],"[-12.83069972 -11.64525464 -11.47092448 ... -12.02878099 -13.45828829
 -13.38855623]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1046.0,627600.0,"[23.09525949 20.96145835 20.64766406 ... 21.65180578 24.22491893
 24.09940121]",114900.0,-6.0,-12.0,117203.99999999956,83717.14285714255,0,117203.99999999956,33486.85714285702,0.0,35776.446547103886,8.005240911595402,5.718029222568145,0,8.005240911595402,2.2872116890272576,0.0,16.478752136,7.479530883437583,5.342522059598274,0,7.479530883437583,2.1370088238393095,0.0,21.75941636,Energiforsyning (2035),Referansesituasjon
4,5,rehab1991Panelovn,EksisterendeOgBT3,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,True,True,False,False,False,True,0,0,True,"[19.52571358 18.5113908  17.90279713 ... 18.71425535 18.30852624
 16.78704207]","[19.52571358 18.5113908  17.90279713 ... 18.71425535 18.30852624
 16.78704207]","[33.41994701 32.47798048 32.76697078 ... 30.76569395 29.86354594
 27.33273776]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[19.52571358 18.5113908  17.90279713 ... 18.71425535 18.30852624
 16.78704207]",[5.57877531 5.2889688  5.11508489 ... 5.3469301  5.2310075  4.79629773],"[-13.94693827 -13.222422   -12.78771223 ... -13.36732525 -13.07751874
 -11.99074433]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1005.0,603000.0,"[25.10448889 23.8003596  23.01788202 ... 24.06118546 23.53953374
 21.5833398 ]",101400.0,-15.0,-20.0,112520.50000000006,80371.78571428577,0,112520.50000000006,32148.714285714304,0.0,43222.740445663796,3.6008458812250628,2.5720327723036163,0,3.6008458812250628,1.0288131089214465,0.0,19.908540260000002,4.868749360529662,3.4776781146640445,0,4.868749360529662,1.3910712458656178,0.0,26.2882901,Energiforsyning (2035),Referansesituasjon
5,6,rehab1991Panelovn,EksisterendeOgBT3,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,True,False,False,False,False,True,0,0,True,"[20.27577916 19.97760594 19.5303461  ... 17.34374247 17.74130677
 18.83460858]","[20.27577916 19.97760594 19.5303461  ... 17.34374247 17.74130677
 18.83460858]","[34.17001259 33.94419562 34.39451975 ... 29.39518106 29.29632647
 29.38030428]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[20.27577916 19.97760594 19.5303461  ... 17.34374247 17.74130677
 18.83460858]",[5.79307976 5.70788741 5.58009889 ... 4.95535499 5.06894479 5.38131674],"[-14.4826994  -14.26971853 -13.95024722 ... -12.38838748 -12.67236198
 -13.45329185]",[0. 0. 0. ... 0. 0. 0.],0,0,972.0,583200.0,"[26.06885892 25.68549335 25.11044499 ... 22.29909746 22.81025156
 24.21592532]",140000.0,6.0,6.0,108886.49999999977,77776.07142857126,0,108886.49999999977,31110.428571428507,0.0,0.0,4.3235117330694655,3.0882226664781895,0,4.3235117330694655,1.235289066591276,0.0,0.0,4.472598344554619,3.1947131032532994,0,4.472598344554619,1.2778852413013198,0.0,0.0,Energiforsyning (2035),Referansesituasjon
6,7,rehab1991Panelovn,EksisterendeOgBT3,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,True,False,False,False,False,True,0,0,True,"[22.38831368 21.83860062 21.7386528  ... 17.54084398 17.54084398
 17.9406353 ]","[22.38831368 21.83860062 21.7386528  ... 17.54084398 17.54084398
 17.9406353 ]","[36.28254711 35.80519031 36.60282645 ... 29.59228257 29.09586368
 28.48633099]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[22.38831368 21.83860062 21.7386528  ... 17.54084398 17.54084398
 17.9406353 ]",[6.39666105 6.23960018 6.21104366 ... 5.01166971 5.01166971 5.1258958 ],"[-15.99165263 -15.59900045 -15.52760914 ... -12.52917427 -12.52917427
 -12.8147395 ]",[0. 0. 0. ... 0. 0. 0.],0,0,937.0,562200.0,"[28.78497474 28.0782008  27.94969645 ... 22.55251369 22.55251369
 23.06653109]",134900.0,5.0,6.0,104888.50000000035,74920.3571428574,0,104888.50000000035,29968.142857142957,0.0,0.0,3.9979131578257907,2.8556522555898507,0,3.9979131578257907,1.14226090223594,0.0,0.0,4.747521874918126,3.3910870535129476,0,4.747521874918126,1.3564348214051787,0.0,0.0,Energiforsyning (2035),Referansesituasjon
7,8,rehab1991Panelovn,EksisterendeOgBT3,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,True,True,False,False,False,True,0,0,True,"[13.10385029 11.85586455 11.20958622 ... 11.52158265 12.12329006
 12.6581411 ]","[13.10385029 11.85586455 11.20958622 ... 11.52158265 12.12329006
 12.6581411 ]","[26.99808372 25.82245423 26.07375987 ... 23.57302124 23.67830977
 23.20383679]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[13.10385029 11.85586455 11.20958622 ... 11.52158265 12.12329006
 12.6581411 ]",[3.74395723 3.38738987 3.20273892 ... 3.29188076 3.46379716 3.61661174],"[-9.35989306 -8.46847468 -8.0068473  ... -8.22970189 -8.6594929
 -9.04152935]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],725.0,435000.0,"[16.84780751 15.24325442 14.41232514 ... 14.81346341 15.58708722
 16.27475284]",61100.0,-15.0,-22.0,81175.49999999994,57982.49999999995,0,81175.49999999994,23192.999999999978,0.0,43222.740445663796,3.9222409027566507,2.8016006448261788,0,3.9222409027566507,1.120640257930472,0.0,19.908540260000002,3.2982480318635474,2.3558914513311056,0,3.2982480318635474,0.9423565805324419,0.0,26.2882901,Energiforsyning (2035),Referansesituasjon
8,9,rehab2021Panelovn,EksisterendeOgBT3,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,True,True,False,False,False,True,0,0,True,"[10.24521586  9.298647    9.1594457  ...  9.60488987 10.74634055
 10.69066002]","[10.24521586  9.298647    9.1594457  ...  9.60488987 10.74634055
 10.69066002]","[24.13944928 23.26523668 24.02361935 ... 21.65632846 22.30136025
 21.23635572]",[3.47355836 3.49164742 3.71604341 ... 3.01285965 2.88875493 2.63642392],"[10.24521586  9.298647    9.1594457  ...  9.60488987 10.74634055
 10.69066002]",[2.92720453 2.65675629 2.61698449 ... 2.74425425 3.07038301 3.05447429],"[-7.31801133 -6.64189071 -6.54246121 ... -6.86063562 -7.67595753
 -7.63618573]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],597.0,358200.0,"[13.17242039 11.95540329 11.77643018 ... 12.34914411 13.81672356
 13.74513432]",50200.0,-11.0,-16.0,66847.49999999761,47748.21428571258,0,66847.49999999761,19099.28571428503,0.0,35776.446547103886,4.565802718660255,3.261287656185897,0,4.565802718660255,1.3045150624743584,0.0,16.478752136,4.265963113294579,3.047116509496128,0,4.265963113294579,1.2188466037984513,0.0,21.75941636,Energiforsyning (2035),Referansesituasjon
9,10,radiator,EksisterendeOgBT3,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,False,True,False,False,False,False,0,0,True,[3.34220971 3.34220971 3.34220971 ... 2.04845111 1.18594538 1.2937586 ],[3.34220971 3.34220971 3.34220971 ... 2.04845111 1.18594538 1.2937586 ],"[19.22133362 19.30402649 20.32983673 ... 15.82152378 14.39168218
 13.34598225]",[3.96978098 3.9904542  4.24690676 ... 3.44326817 3.3014342  3.01305591],[3.34220971 3.34220971 3.34220971 ... 2.04845111 1.18594538 1.2937586 ],0,0,0,0,[-0. -0. -0. ... -0. -0. -0.],0.0,0.0,[6.68441941 6.68441941 6.68441941 ... 4.09690222 2.37189076 2.58751719],8700.0,-13.0,-24.0,25399.500000000062,0.0,0,25399.500000000062,0.0,0.0,42131.473236392085,3.4500229213712164,0.0,0,3.4500229213712164,0.0,0.0,19.405898897,0.7546925140499534,0.0,0,0.7546925140499534,0.0,0.0,25.624575845000003,Energiforsyning (2035),Referansesituasjon
