,objectid,bygning_id,bygningstype_navn,bruksareal_totalt,antall_etasjer,bebygd_areal,energiomraadeid,tatt_i_bruk,bygningsomraadeid,y,x,har_fjernvarme,har_grunnvarme,har_adresse,he,bolig,ventilasjonsprinsipp,siste_rehab,byggetype,varme_fra_energisentral,strøm,varmt_tappevann_fra,profet_bygningstype,profet_bygningsstandard,varmeløsning,profet_date,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario
20,21,593939,Studenthjem/studentboliger,2130,5,0,rehab1970Panelovn,1011970,EksisterendeOgBT3,59.964226,10.731572,,,OMT50,84.0,36.0,Avtrekksventilasjon,1970,Boligblokk,320264,322806,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,False,False,False,False,False,False,0,0,True,"[30.56872211 29.16271315 28.35927945 ... 38.40220063 35.79104113
 32.1755895 ]","[18.64159166 18.64159166 18.64159166 ... 18.64159166 18.64159166
 18.64159166]","[49.09436668 47.78483273 48.17817765 ... 54.47078542 51.19773406
 46.23651709]",[4.63141114 4.65552989 4.95472455 ... 4.0171462  3.85167323 3.5152319 ],"[18.64159166 18.64159166 18.64159166 ... 18.64159166 18.64159166
 18.64159166]",0,0,0,0,0,0,0,"[49.21031378 47.80430481 47.00087112 ... 57.0437923  54.43263279
 50.81718116]",322800.0,17.0,14.0,164400.51711743814,0,0,158405.48288256224,0,0,0,0.0,0,0,17.27382442761393,0,0,0,0.0,0,0,14.461806497537246,0,0,0,Referansesituasjon
21,22,593941,Studenthjem/studentboliger,2164,5,0,rehab1970Panelovn,1011970,EksisterendeOgBT3,59.964033,10.730559,,,OMT48,82.0,67.0,Avtrekksventilasjon,1970,Boligblokk,312639,286105,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,False,False,False,False,False,False,0,0,True,"[31.63058079 30.20790894 28.98847592 ... 28.58199825 25.83827396
 25.53341571]","[16.33378449 16.33378449 16.33378449 ... 16.33378449 16.33378449
 16.33378449]","[49.71513858 48.38664472 48.33549559 ... 44.26799768 40.87814088
 39.25955931]",[4.52113945 4.54468395 4.83675492 ... 3.92149986 3.75996673 3.4315359 ],"[16.33378449 16.33378449 16.33378449 ... 16.33378449 16.33378449
 16.33378449]",0,0,0,0,0,0,0,"[47.96436528 46.54169342 45.32226041 ... 44.91578274 42.17205845
 41.8672002 ]",286100.0,19.0,16.0,146975.2136760148,0,0,139129.78632398506,0,0,0,2.3641884159631985,0,0,16.333784487893215,0,0,0,0.0,0,0,16.05586803700714,0,0,0,Referansesituasjon
22,23,4285839,Studenthjem/studentboliger,11503,14,0,radiator,1012007,EksisterendeOgBT3,59.964454,10.733375,,,OMT2-4,396.0,306.0,Avtrekksventilasjon,2007,Boligblokk,1509818,954060,Varmesentral 1 (OMT72),Hus,Eldre,Radiator,,False,False,False,False,False,False,0,0,True,"[18.14987262 17.53915364 14.18019924 ... 19.98202956 17.84451313
 11.43196383]","[92.08490334 92.08490334 92.08490334 ... 92.08490334 92.08490334
 92.08490334]","[105.48505415 105.32914594 107.6121479  ...  95.73392927  90.47606555
  77.71919391]","[21.83379538 21.94749808 23.35798716 ... 18.93797493 18.15788811
 16.57180752]","[92.08490334 92.08490334 92.08490334 ... 92.08490334 92.08490334
 92.08490334]",0,0,0,0,0,0,0,"[110.23477595 109.62405697 106.26510258 ... 112.0669329  109.92941646
 103.51686717]",954100.0,88.0,74.0,170058.44372213274,0,0,784001.5562778714,0,0,0,0.0,0,0,88.24889266136744,0,0,0,0.0,0,0,73.89699662301356,0,0,0,Referansesituasjon
23,24,5614767,Studenthjem/studentboliger,6484,9,0,radiator,1012018,EksisterendeOgBT3,59.963358,10.733078,,,OMT68,237.0,220.0,Balansert,2018,Boligblokk,903603,608017,Varmesentral 1 (OMT72),Hus,Eldre,Radiator,,False,False,False,False,False,False,0,0,True,"[14.8490855  17.06442558 14.24490185 ... 17.06442558 14.64769095
 15.25187461]","[52.61808943 52.61808943 52.61808943 ... 52.61808943 52.61808943
 52.61808943]","[67.11786839 69.60540582 70.16250748 ... 62.4007898  58.1165746
 54.92377745]","[13.06719572 13.13524506 13.97940141 ... 11.33409106 10.86722091
  9.91797571]","[52.61808943 52.61808943 52.61808943 ... 52.61808943 52.61808943
 52.61808943]",0,0,0,0,0,0,0,"[67.46717493 69.682515   66.86299127 ... 69.682515   67.26578038
 67.86996403]",608000.0,47.0,46.0,155766.5582463338,0,0,452250.44175366417,0,0,0,0.0,0,0,47.126325175536124,0,0,0,0.0,0,0,45.716563311310686,0,0,0,Referansesituasjon
24,25,5615545,Studenthjem/studentboliger,5106,11,0,radiator,1012018,EksisterendeOgBT3,59.96386,10.733679,,,OMT70,129.0,129.0,Balansert,2018,Boligblokk,491835,4744,Varmesentral 1 (OMT72),Hus,Eldre,Radiator,,False,False,False,False,False,False,0,0,False,"[100.45050088  85.2374685  103.83322231 ... 114.63174138 107.62161543
 106.33483603]","[21.26351167 16.55258842 14.87930933 ... 36.52896225 32.56457858
 25.84572083]","[ 92.89245978  80.35036476 100.38073505 ... 100.90105381  96.07711231
  97.7316049 ]","[ 7.5580411   4.88710374  3.45248726 ... 13.73068757 11.54450312
  8.60323113]","[21.26351167 16.55258842 14.87930933 ... 36.52896225 32.56457858
 25.84572083]",0,0,0,0,0,0,0,"[121.71401255 101.79005692 118.71253164 ... 151.16070363 140.18619401
 132.18055686]",960600.0,59.0,57.0,756171.5095808699,0,0,204422.7659342502,0,0,0,35.2757231436,0,0,23.5031309202,0,0,0,37.893249708,0,0,19.1268630798,0,0,0,Referansesituasjon
25,26,5734422,Studenthjem/studentboliger,1307,4,0,breeam,1012019,EksisterendeOgBT3,59.963463,10.728471,,,OMT40,27.333333333333332,9.11111111111111,Balansert,2019,Boligblokk,312639,217788,Varmesentral 2 (OMT38),Hus,Eldre,Elektrisk gulvvarme på bad. Ventilasjonsvarme,,False,False,False,False,False,False,0,0,True,"[ 4.15603672  2.12932543 10.60466355 ...  8.76219875  5.99850153
  4.4016987 ]","[17.64646352 17.64646352 17.64646352 ... 17.64646352 17.64646352
 17.64646352]","[22.24059452 20.30806121 29.95168323 ... 24.44819818 21.03836845
 18.1278423 ]",[4.52113945 4.54468395 4.83675492 ... 3.92149986 3.75996673 3.4315359 ],"[17.74646352 17.64646352 17.64646352 ... 17.64646352 17.74646352
 17.64646352]",0,0,0,0,0,0,0,"[21.80250024 19.77578895 28.25112707 ... 26.40866226 23.64496505
 22.04816221]",217800.0,10.0,2.0,81636.1210109163,0,0,136151.87898908328,0,0,0,0.0,0,0,10.010725461847098,0,0,0,0.0,0,0,2.4566197452385516,0,0,0,Referansesituasjon
26,27,5734455,Studenthjem/studentboliger,2983,5,0,breeam,1012019,EksisterendeOgBT3,59.963669,10.728844,,,OMT38,27.333333333333332,9.11111111111111,Balansert,2019,Boligblokk,312639,217788,Varmesentral 2 (OMT38),Hus,Eldre,Elektrisk gulvvarme på bad. Ventilasjonsvarme,,False,False,False,False,False,False,0,0,True,"[ 4.15603672  2.12932543 10.60466355 ...  8.76219875  5.99850153
  4.4016987 ]","[17.64646352 17.64646352 17.64646352 ... 17.64646352 17.64646352
 17.64646352]","[22.24059452 20.30806121 29.95168323 ... 24.44819818 21.03836845
 18.1278423 ]",[4.52113945 4.54468395 4.83675492 ... 3.92149986 3.75996673 3.4315359 ],"[17.64646352 17.64646352 17.64646352 ... 17.64646352 17.64646352
 17.64646352]",0,0,0,0,0,0,0,"[21.80250024 19.77578895 28.25112707 ... 26.40866226 23.64496505
 22.04816221]",217800.0,10.0,2.0,81636.1210109163,0,0,136151.87898908328,0,0,0,0.0,0,0,10.010725461847098,0,0,0,0.0,0,0,2.4566197452385516,0,0,0,Referansesituasjon
27,28,5734456,Studenthjem/studentboliger,1816,5,0,breeam,1012019,EksisterendeOgBT3,59.963347,10.729232,,,OMT42,27.333333333333332,9.11111111111111,Balansert,2019,Boligblokk,312639,217788,Varmesentral 2 (OMT38),Hus,Eldre,Elektrisk gulvvarme på bad. Ventilasjonsvarme,,False,False,False,False,False,False,0,0,True,"[ 4.15603672  2.12932543 10.60466355 ...  8.76219875  5.99850153
  4.4016987 ]","[17.64646352 17.64646352 17.64646352 ... 17.64646352 17.64646352
 17.64646352]","[22.24059452 20.30806121 29.95168323 ... 24.44819818 21.03836845
 18.1278423 ]",[4.52113945 4.54468395 4.83675492 ... 3.92149986 3.75996673 3.4315359 ],"[17.74646352 17.64646352 17.64646352 ... 17.64646352 17.64646352
 17.74646352]",0,0,0,0,0,0,0,"[21.80250024 19.77578895 28.25112707 ... 26.40866226 23.64496505
 22.04816221]",217800.0,10.0,2.0,81636.1210109163,0,0,136151.87898908328,0,0,0,0.0,0,0,10.010725461847098,0,0,0,0.0,0,0,2.4566197452385516,0,0,0,Referansesituasjon
28,29,6029002,Studenthjem/studentboliger,4075,7,0,byggetrinn3,1012024,EksisterendeOgBT3,59.965354,10.730766,,,OMT30A,0.0,0.0,Balansert,2024,Boligblokk,0,0,Varmesentral 3 (OMT 28),Hus,Eldre,Gulvvarme/Radiator,,False,False,False,False,False,False,0,0,False,"[80.16760499 68.02637762 82.86728964 ... 91.48537918 85.89073304
 84.86377925]","[16.96999805 13.21030118 11.87488945 ... 29.15305937 25.98916132
 20.6269707 ]","[74.13567834 64.1260745  80.11192623 ... 80.52718259 76.67728803
 77.99770661]","[ 6.03192665  3.90030312  2.75536341 ... 10.9581966   9.21344501
  6.86607264]","[16.96999805 13.21030118 11.87488945 ... 29.15305937 25.98916132
 20.6269707 ]",0,0,0,0,0,0,0,"[ 97.13760305  81.2366788   94.74217909 ... 120.63843856 111.87989436
 105.49074994]",766600.0,47.0,46.0,603485.879659625,0,0,163145.8619628025,0,0,0,28.152873444999997,0,0,18.757394927500002,0,0,0,30.241870849999998,0,0,15.264780072499999,0,0,0,Referansesituasjon
29,30,6029032,Studenthjem/studentboliger,2725,6,0,byggetrinn3,1012024,EksisterendeOgBT3,59.965552,10.729925,,,OMT30B,0.0,0.0,Balansert,2024,Boligblokk,0,0,Varmesentral 3 (OMT 28),Hus,Eldre,Gulvvarme/Radiator,,False,False,False,False,False,False,0,0,False,"[53.60901193 45.49003166 55.41432252 ... 61.17733946 57.43613436
 56.74939839]","[11.34803551  8.83388238  7.94087699 ... 19.49499062 17.37925512
 13.79349574]","[49.57539226 42.8818535  53.57177889 ... 53.84946566 51.27499629
 52.15797559]",[4.03361966 2.60817816 1.84254363 ... 7.3278738  6.16113807 4.5914228 ],"[11.34803551  8.83388238  7.94087699 ... 19.49499062 17.37925512
 13.79349574]",0,0,0,0,0,0,0,"[64.95704743 54.32391404 63.35519951 ... 80.67233008 74.81538948
 70.54289413]",512700.0,31.0,30.0,403558.042226375,0,0,109097.5395947575,0,0,0,18.826154635,0,0,12.543288632500001,0,0,0,20.22309155,0,0,10.207736367499999,0,0,0,Referansesituasjon
