,objectid,bygning_id,bygningstype_navn,bruksareal_totalt,antall_etasjer,bebygd_areal,energiomraadeid,tatt_i_bruk,bygningsomraadeid,y,x,har_fjernvarme,har_grunnvarme,har_adresse,he,bolig,ventilasjonsprinsipp,siste_rehab,byggetype,varme_fra_energisentral,strøm,varmt_tappevann_fra,profet_bygningstype,profet_bygningsstandard,varmeløsning,profet_date,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,scenario_navn,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
0,1,520146,Annen forretningsbygning,3555,4,0,radiator,1012018,EksisterendeOgBT3,59.963944,10.733188,,,OMT72,0,0,Balansert,2018,Næring/energisentral,0.0,0,"Egen produksjon, samt tilskudd fra Varmesentral 2 (OMT38)",Andre,Eldre,Radiator,,False,False,False,False,False,False,0,0,False,"[60.7044882  59.60154838 62.65047707 ... 54.61087585 54.17154931
 56.49254659]","[35.01915247 34.53997224 34.43531375 ... 38.4442453  37.39330483
 36.45400095]","[55.65990978 54.81318024 58.1496231  ... 48.45905287 48.62147193
 50.90813432]",[5.04457842 4.78836814 4.50085397 ... 6.15182298 5.55007738 5.58441228],"[35.01915247 34.53997224 34.43531375 ... 38.4442453  37.39330483
 36.45400095]",0.0,0.0,914200.0,71.0,112.0,425556.68648463447,0.0,0,488631.47246135096,0.0,0.0,0,21.314596896,0.0,0,49.416003054,0.0,0.0,0,35.4447040995,0.0,0,76.104600309,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,0,0,0,0,0,"[95.72364067 94.14152062 97.08579082 ... 93.05512115 91.56485413
 92.94654754]"
1,2,562854,Studenthjem/studentboliger,2126,5,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963686,10.732332,,,OMT62,84,28,Avtrekksventilasjon. Balansert i kjeller,1991,Boligblokk,163182.92,309869,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[30.0964229  27.30717588 26.71996598 ... 30.48789617 29.60708132
 27.55184667]","[19.47387942 19.47387942 19.47387942 ... 19.47387942 19.47387942
 19.47387942]","[30.0964229  27.30717588 26.71996598 ... 30.48789617 29.60708132
 27.55184667]","[23.15705571 23.27764947 24.77362275 ... 20.08573098 19.25836617
 17.57615949]","[19.47387942 19.47387942 19.47387942 ... 19.47387942 19.47387942
 19.47387942]",1278.0,766800.0,207600.0,18.0,18.0,143139.73300584458,102242.66643274615,0,166729.26699415664,40897.06657309846,0.0,0,0.0,0.0,0,18.448177663767456,0.0,0.0,0,0.0,0.0,0,18.105638555952144,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[8.59897797 7.80205025 7.63427599 ... 8.71082748 8.45916609 7.87195619],"[-21.49744493 -19.50512563 -19.08568999 ... -21.77706869 -21.14791523
 -19.67989048]",[0. 0. 0. ... 0. 0. 0.],0,0,"[28.07285739 27.27592967 27.10815541 ... 28.18470689 27.93304551
 27.34583561]"
2,3,562855,Studenthjem/studentboliger,1702,5,0,rehab2021Panelovn,1012022,EksisterendeOgBT3,59.963363,10.732333,,,OMT66,63,63,Balansert,2022,Boligblokk,122387.19,115027,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,[8.80207798 8.47431686 8.47563847 ... 6.61832543 7.46944706 6.57383098],[7.13794998 7.13794998 7.13794998 ... 7.13794998 7.13794998 7.13794998],[8.80207798 8.47431686 8.47563847 ... 6.61832543 7.46944706 6.57383098],"[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]",[7.13794998 7.13794998 7.13794998 ... 7.13794998 7.13794998 7.13794998],482.0,289200.0,76500.0,7.0,5.0,53947.90024436054,38534.21446025753,0,61079.099755639414,15413.685784103012,0.0,0,0.004951754078901693,0.003536967199215495,0,7.137949977288927,0.0014147868796861984,0.0,0,0.0,0.0,0,5.4922015471174745,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[2.51487942 2.42123339 2.42161099 ... 1.89095012 2.13412773 1.87823742],"[-6.28719856 -6.05308347 -6.05402748 ... -4.72737531 -5.33531933
 -4.69559355]",[0. 0. 0. ... 0. 0. 0.],0,0,[9.6528294  9.55918337 9.55956097 ... 9.0289001  9.27207771 9.0161874 ]
3,4,562856,Studenthjem/studentboliger,1702,5,0,rehab2021Panelovn,1012021,EksisterendeOgBT3,59.963381,10.731653,,,OMT64,63,63,Balansert,2021,Boligblokk,122387.19,234408,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[19.47000043 16.1507542  15.66262975 ... 17.22462798 21.22724843
 21.03199866]","[16.45595878 16.45595878 16.45595878 ... 16.45595878 16.45595878
 16.45595878]","[19.47000043 16.1507542  15.66262975 ... 17.22462798 21.22724843
 21.03199866]","[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]","[16.45595878 16.45595878 16.45595878 ... 16.45595878 16.45595878
 16.45595878]",827.0,496200.0,168300.0,16.0,15.0,92604.90525608274,66146.36089720197,0,141803.0947439164,26458.544358880783,0.0,0,0.0,0.0,0,16.010481823190805,0.0,0.0,0,0.0,0.0,0,14.959061766875166,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[5.56285727 4.6145012  4.47503707 ... 4.92132228 6.06492812 6.00914247],"[-13.90714316 -11.536253   -11.18759268 ... -12.3033057  -15.16232031
 -15.02285618]",[0. 0. 0. ... 0. 0. 0.],0,0,"[22.01881605 21.07045998 20.93099586 ... 21.37728106 22.52088691
 22.46510126]"
4,5,562857,Studenthjem/studentboliger,1702,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963362,10.731008,,,OMT58,63,63,Avtrekksventilasjon,1991,Boligblokk,122387.19,225041,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[28.96938357 26.940738   25.72355066 ... 27.34646711 26.53500889
 23.49204054]",[10.0820436 10.0820436 10.0820436 ... 10.0820436 10.0820436 10.0820436],"[28.96938357 26.940738   25.72355066 ... 27.34646711 26.53500889
 23.49204054]","[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]",[10.0820436 10.0820436 10.0820436 ... 10.0820436 10.0820436 10.0820436],1244.0,746400.0,125600.0,7.0,10.0,139273.74855561214,99481.2489682944,0,85767.25144438795,39792.49958731776,0.0,0,0.0,0.0,0,7.2016917624501255,0.0,0.0,0,0.0,0.0,0,9.737498721059325,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[8.27696673 7.69735371 7.3495859  ... 7.81327632 7.58143111 6.71201158],"[-20.69241683 -19.24338429 -18.37396476 ... -19.5331908  -18.95357778
 -16.78002895]",[0. 0. 0. ... 0. 0. 0.],0,0,"[18.35901033 17.77939731 17.4316295  ... 17.89531991 17.66347471
 16.79405518]"
5,6,562858,Studenthjem/studentboliger,1702,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963353,10.730362,,,OMT56,63,63,Avtrekksventilasjon,1991,Boligblokk,122387.19,217773,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[30.26422843 29.66788198 28.77336231 ... 24.40015504 25.19528364
 27.38188727]",[10.2873299 10.2873299 10.2873299 ... 10.2873299 10.2873299 10.2873299],"[30.26422843 29.66788198 28.77336231 ... 24.40015504 25.19528364
 27.38188727]","[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]",[10.2873299 10.2873299 10.2873299 ... 10.2873299 10.2873299 10.2873299],1159.0,695400.0,125000.0,9.0,9.0,129817.38341809102,92726.70244149359,0,87955.61658190853,37090.68097659743,0.0,0,0.0,0.0,0,8.647023466138931,0.0,0.0,0,0.0,0.0,0,8.945196689109238,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[8.64692241 8.47653771 8.22096066 ... 6.97147287 7.19865247 7.82339636],"[-21.61730602 -21.19134427 -20.55240165 ... -17.42868217 -17.99663117
 -19.55849091]",[0. 0. 0. ... 0. 0. 0.],0,0,"[18.9342523  18.76386761 18.50829056 ... 17.25880277 17.48598236
 18.11072626]"
6,7,562859,Studenthjem/studentboliger,1702,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963675,10.730433,,,OMT52,63,63,Avtrekksventilasjon,1991,Boligblokk,122387.19,209777,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[34.8133227  33.71389659 33.51400093 ... 25.1183833  25.1183833
 25.91796593]",[9.96330466 9.96330466 9.96330466 ... 9.96330466 9.96330466 9.96330466],"[34.8133227  33.71389659 33.51400093 ... 25.1183833  25.1183833
 25.91796593]","[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]",[9.96330466 9.96330466 9.96330466 ... 9.96330466 9.96330466 9.96330466],1109.0,665400.0,121000.0,8.0,9.0,124228.14773984265,88734.39124274475,0,85548.85226015806,35493.7564970979,0.0,0,0.0,0.0,0,7.995826315651581,0.0,0.0,0,0.0,0.0,0,9.495043749836253,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[9.94666363 9.63254188 9.57542884 ... 7.17668094 7.17668094 7.40513312],"[-24.86665907 -24.0813547  -23.93857209 ... -17.94170235 -17.94170235
 -18.51283281]",[0. 0. 0. ... 0. 0. 0.],0,0,"[19.90996829 19.59584655 19.5387335  ... 17.13998561 17.13998561
 17.36843779]"
7,8,562860,Studenthjem/studentboliger,1702,4,0,rehab1991Panelovn,1011991,EksisterendeOgBT3,59.963685,10.73106,,,OMT54,63,63,Avtrekksventilasjon,1991,Boligblokk,122387.19,162351,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[17.81004766 15.31407618 14.02151952 ... 14.64551239 15.84892721
 16.91862928]",[8.39765291 8.39765291 8.39765291 ... 8.39765291 8.39765291 8.39765291],"[17.81004766 15.31407618 14.02151952 ... 14.64551239 15.84892721
 16.91862928]","[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]",[8.39765291 8.39765291 8.39765291 ... 8.39765291 8.39765291 8.39765291],808.0,484800.0,97700.0,8.0,7.0,90478.7984644371,64627.71318888366,0,71872.20153556277,25851.085275553458,0.0,0,0.0,0.0,0,7.844481805513301,0.0,0.0,0,0.0,0.0,0,6.596496063727095,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[5.08858505 4.37545034 4.00614843 ... 4.18443211 4.52826492 4.83389408],"[-12.72146262 -10.93862584 -10.01537109 ... -10.46108028 -11.3206623
 -12.0847352 ]",[0. 0. 0. ... 0. 0. 0.],0,0,"[13.48623796 12.77310325 12.40380135 ... 12.58208502 12.92591783
 13.23154699]"
8,9,562861,Studenthjem/studentboliger,1702,5,0,rehab2021Panelovn,1012022,EksisterendeOgBT3,59.963828,10.731766,,,OMT60,63,63,Balansert,2022,Boligblokk,122387.19,133695,Varmesentral 1 (OMT72),Hus,Eldre,Panelovn,,True,False,False,False,False,True,0,0,True,"[11.10474774  9.21161002  8.93320742 ...  9.82409575 12.10699711
 11.99563607]",[9.38568398 9.38568398 9.38568398 ... 9.38568398 9.38568398 9.38568398],"[11.10474774  9.21161002  8.93320742 ...  9.82409575 12.10699711
 11.99563607]","[17.36779178 17.45823711 18.58021706 ... 15.06429824 14.44377463
 13.18211962]",[9.38568398 9.38568398 9.38568398 ... 9.38568398 9.38568398 9.38568398],472.0,283200.0,96000.0,9.0,9.0,52817.36463009618,37726.689021497274,0,80877.63536989904,15090.675608598907,0.0,0,0.0,0.0,0,9.13160543732051,0.0,0.0,0,0.0,0.0,0,8.531926226589158,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,[3.17278507 2.63188858 2.55234498 ... 2.8068845  3.45914203 3.42732459],"[-7.93196267 -6.57972145 -6.38086244 ... -7.01721125 -8.64785508
 -8.56831148]",[0. 0. 0. ... 0. 0. 0.],0,0,"[12.55846904 12.01757255 11.93802895 ... 12.19256848 12.84482601
 12.81300857]"
9,10,592797,Studenthjem/studentboliger,2112,5,0,radiator,1012018,EksisterendeOgBT3,59.964701,10.732976,,,OMT6,72,72,Balansert,2018,Boligblokk,139871.07,50799,Varmesentral 1 (OMT72),Hus,Eldre,Radiator,,False,False,False,False,False,False,0,0,True,[2.38838887 2.38838887 2.38838887 ... 0.         0.         0.        ],[4.29603054 4.29603054 4.29603054 ... 4.09690222 2.37189076 2.58751719],[2.38838887 2.38838887 2.38838887 ... 0.         0.         0.        ],"[19.84890489 19.95227098 21.23453379 ... 17.21634084 16.50717101
 15.06527956]",[4.29603054 4.29603054 4.29603054 ... 4.09690222 2.37189076 2.58751719],0.0,0.0,50800.0,7.0,2.0,16829.440481896872,0.0,0,33969.55951810325,0.0,0.0,0,2.6040152988597036,0.0,0,4.296030543882729,0.0,0.0,0,0.0,0.0,0,1.5093850280999068,0.0,0.0,0,panelovnTilGrunnvarme,Referansesituasjon,0,0,0,0,0,[6.68441941 6.68441941 6.68441941 ... 4.09690222 2.37189076 2.58751719]
